id,sex,employment,married,income,digital3
100001,M,employed,1,8139,0
100002,M,employed,1,12794,0
100003,M,employed,1,15755,0
100004,F,employed,1,768163,.11626963
100005,M,employed,1,27633,.085841596
100006,F,employed,1,22519,.70825499
100007,M,student,0,0,.73273546
100008,F,unemployed,1,16930,.053173546
100009,F,employed,1,13792,.78209645
100010,M,unemployed,1,11199,.90194029
100011,M,employed,1,15054,.56736767
100012,M,employed,1,13897,.1430276
100013,F,retired,0,5830,.25553113
100014,M,retired,1,6008,.21465966
100015,M,student,0,23176,.98439211
100016,M,student,0,5724,.92167211
100017,F,employed,1,16530,.59423161
100018,F,employed,0,15812,.53450555
100019,M,student,0,0,.79422468
100020,F,student,0,0,.35393587
100021,F,retired,1,11380,.35367423
100022,F,student,0,61174,.94488257
100023,F,employed,1,6526,.69305044
100024,M,unemployed,0,0,.53933465
100025,M,employed,1,54614,.64316827
100026,F,employed,0,82098,0
100027,F,student,0,0,.78091305
100028,M,retired,0,9849,.32357901
100029,M,employed,1,38615,.63127571
100030,F,student,0,0,.054272525
100031,M,employed,0,44552,0
100032,M,student,0,0,.41437197
100033,F,employed,0,6521,.47668779
100034,M,employed,1,9663,.67183661
100035,M,employed,1,41000,.62071699
100036,M,employed,1,31780,.66229987
100037,F,retired,1,6117,.030706123
100038,F,employed,1,6090,.35747856
100039,M,employed,1,9489,.71132416
100040,M,retired,0,3590,0
100041,M,employed,0,8107,.093251377
100042,F,retired,0,10026,0
100043,F,unemployed,1,0,0
100044,M,employed,0,43745,.81934923
100045,M,employed,1,19389,.28492984
100046,M,employed,1,23980,.53430617
100047,M,student,1,0,.81527644
100048,F,unemployed,1,14254,.67620111
100049,M,unemployed,1,35888,.29857942
100050,M,employed,1,30227,.57287246
100051,M,student,1,0,.75714612
100052,F,retired,1,9105,.2511417
100053,M,student,0,0,.98218626
100054,M,retired,1,3724,.20575801
100055,F,retired,0,4071,.20170791
100056,F,unemployed,1,11677,0
100057,M,student,0,21037,.88321757
100058,M,employed,1,480873,.64410317
100059,F,unemployed,1,0,.96343315
100060,F,student,1,0,.83509457
100061,M,employed,0,6726,.72205901
100062,F,employed,1,7879,.90704525
100063,M,employed,1,17630,.50480276
100064,M,retired,0,1660,.32242614
100065,M,student,0,27744,.89426214
100066,F,employed,0,45603,.61810756
100067,M,retired,1,23864,0
100068,F,unemployed,0,33731,0
100069,F,retired,0,3337,.0020823362
100070,F,employed,0,6099,0
100071,F,employed,1,5430,.67469329
100072,M,employed,1,62360,.59009796
100073,M,unemployed,0,0,.65717137
100074,F,employed,1,5079,0
100075,M,unemployed,1,11998,.31784451
100076,F,employed,1,6013,0
100077,M,student,0,8241,.70871735
100078,M,unemployed,1,0,0
100079,F,student,0,0,.092045106
100080,M,employed,1,12382,.92678726
100081,F,employed,1,10839,.44051442
100082,F,student,0,0,.81612277
100083,M,employed,1,15000,.50497544
100084,M,retired,1,12330,.3554669
100085,M,employed,0,6132,0
100086,M,retired,1,5599,0
100087,M,employed,0,12790,.83705896
100088,M,student,1,0,.74830151
100089,F,employed,0,6159,.17243671
100090,M,student,0,0,.40434128
